INFO 2025-11-27 17:56:24,705 autoreload Watching for file changes with StatReloader
DEBUG 2025-11-27 17:56:24,706 autoreload Waiting for apps ready_event.
DEBUG 2025-11-27 17:56:27,487 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-11-27 17:56:27,538 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-11-27 17:56:27,539 autoreload Watching dir D:\Vortex\templates with glob **/*.
DEBUG 2025-11-27 17:56:27,539 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-11-27 17:56:27,539 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2025-11-27 17:56:27,540 autoreload Watching dir D:\Vortex\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,540 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,540 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,541 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,541 autoreload Watching dir D:\.venvs\.venv\Lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,541 autoreload Watching dir D:\Vortex\apps\core\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,541 autoreload Watching dir D:\Vortex\apps\authentication\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,542 autoreload Watching dir D:\Vortex\apps\clients\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,542 autoreload Watching dir D:\Vortex\apps\customers\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,542 autoreload Watching dir D:\Vortex\apps\shops\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,542 autoreload Watching dir D:\Vortex\apps\services\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,542 autoreload Watching dir D:\Vortex\apps\schedules\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,543 autoreload Watching dir D:\Vortex\apps\bookings\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,543 autoreload Watching dir D:\Vortex\apps\subscriptions\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,543 autoreload Watching dir D:\Vortex\apps\notifications\locale with glob **/*.mo.
DEBUG 2025-11-27 17:56:27,696 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1764245877.7210107
DEBUG 2025-11-27 17:56:27,697 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\DLLs\_hashlib.pyd first seen with mtime 1755210820.0
DEBUG 2025-11-27 17:56:27,697 autoreload File D:\.venvs\.venv\Lib\site-packages\rest_framework\serializers.py first seen with mtime 1764245879.9061153
DEBUG 2025-11-27 17:56:27,697 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1764245879.1953664
DEBUG 2025-11-27 17:56:27,698 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_itertools.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,698 autoreload File D:\Vortex\apps\authentication\__init__.py first seen with mtime 1764244097.975638
DEBUG 2025-11-27 17:56:27,699 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\socket.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,699 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\postgres\fields\ranges.py first seen with mtime 1764245878.7947342
DEBUG 2025-11-27 17:56:27,700 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\ctypes\wintypes.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,700 autoreload File D:\.venvs\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1764245879.304881
DEBUG 2025-11-27 17:56:27,701 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1764245879.2333734
DEBUG 2025-11-27 17:56:27,701 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\unittest\runner.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,702 autoreload File D:\.venvs\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1764245879.3620675
DEBUG 2025-11-27 17:56:27,702 autoreload File D:\.venvs\.venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1764245875.9068978
DEBUG 2025-11-27 17:56:27,703 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\mime\text.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,703 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\utils.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,703 autoreload File D:\.venvs\.venv\Lib\site-packages\requests\compat.py first seen with mtime 1764245881.2377706
DEBUG 2025-11-27 17:56:27,704 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1764245879.270105
DEBUG 2025-11-27 17:56:27,704 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\_header_value_parser.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,704 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,704 autoreload File D:\.venvs\.venv\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1764245877.4704742
DEBUG 2025-11-27 17:56:27,705 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1764245879.3753052
DEBUG 2025-11-27 17:56:27,705 autoreload File D:\.venvs\.venv\Lib\site-packages\pygments\lexers\_mapping.py first seen with mtime 1764245877.3858705
DEBUG 2025-11-27 17:56:27,705 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\asyncio\futures.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,706 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\linecache.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,706 autoreload File D:\.venvs\.venv\Lib\site-packages\_virtualenv.py first seen with mtime 1764245752.439157
DEBUG 2025-11-27 17:56:27,706 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1764245879.2681537
DEBUG 2025-11-27 17:56:27,706 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1764245879.203217
DEBUG 2025-11-27 17:56:27,707 autoreload File D:\.venvs\.venv\Lib\site-packages\pygments\filter.py first seen with mtime 1764245877.307582
DEBUG 2025-11-27 17:56:27,708 autoreload File D:\.venvs\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1764245875.9179258
DEBUG 2025-11-27 17:56:27,708 autoreload File D:\.venvs\.venv\Lib\site-packages\requests\models.py first seen with mtime 1764245881.244906
DEBUG 2025-11-27 17:56:27,709 autoreload File D:\.venvs\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1764245875.9114118
DEBUG 2025-11-27 17:56:27,709 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1764245879.2734761
DEBUG 2025-11-27 17:56:27,709 autoreload File D:\.venvs\.venv\Lib\site-packages\drf_spectacular\contrib\rest_framework_simplejwt.py first seen with mtime 1764245885.5378163
DEBUG 2025-11-27 17:56:27,709 autoreload File D:\Vortex\config\settings\__init__.py first seen with mtime 1764244009.282799
DEBUG 2025-11-27 17:56:27,710 autoreload File D:\.venvs\.venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1764245879.3986495
DEBUG 2025-11-27 17:56:27,710 autoreload File D:\.venvs\.venv\Lib\site-packages\certifi\core.py first seen with mtime 1764245876.5424747
DEBUG 2025-11-27 17:56:27,710 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1764245879.2297056
DEBUG 2025-11-27 17:56:27,711 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\asyncio\protocols.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,711 autoreload File D:\.venvs\.venv\Lib\site-packages\yaml\events.py first seen with mtime 1764245881.0370243
DEBUG 2025-11-27 17:56:27,711 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\unittest\result.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,712 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\warnings.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,712 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\asyncio\constants.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,712 autoreload File C:\Users\Mg\AppData\Local\Programs\Python\Python313\Lib\email\message.py first seen with mtime 1755210782.0
DEBUG 2025-11-27 17:56:27,712 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1764245879.2286985
DEBUG 2025-11-27 17:56:27,713 autoreload File D:\.venvs\.venv\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1764245878.1826231
DEBUG 2025-11-27 17:56:27,713 autoreload File D:\.venvs\.venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1764245879.1963758
DEBUG 2025-11-27 17:56:27,713 autoreload File D:\.venvs\.venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1764245879.2771378
DEBUG 2025-11-27 17:56:27,713 autoreload File D:\.venvs\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1764245879.3816624
DEBUG 2025-11-27 17:56:27,714 autoreload File D:\.venvs\.venv\Lib\site-packages\django_filters\rest_framework\filterset.py first seen with mtime 1764245885.4375753
